run,label,update,compute_units,query_hops,inference_loops,accuracy,n,source
v2-fixed4-s20260913,Fixed 4 training,400,480706560,8,6,0.140625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-400.json
v2-fixed4-s20260913,Fixed 4 training,400,480706560,8,8,0.09375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-400.json
v2-fixed4-s20260913,Fixed 4 training,600,721158144,4,4,0.9453125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-600.json
v2-fixed4-s20260913,Fixed 4 training,600,721158144,4,6,0.5859375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-600.json
v2-fixed4-s20260913,Fixed 4 training,600,721158144,4,8,0.5703125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-600.json
v2-fixed4-s20260913,Fixed 4 training,600,721158144,6,4,0.0703125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-600.json
v2-fixed4-s20260913,Fixed 4 training,600,721158144,6,6,0.3828125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-600.json
v2-fixed4-s20260913,Fixed 4 training,600,721158144,6,8,0.140625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-600.json
v2-fixed4-s20260913,Fixed 4 training,600,721158144,8,4,0.0703125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-600.json
v2-fixed4-s20260913,Fixed 4 training,600,721158144,8,6,0.0546875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-600.json
v2-fixed4-s20260913,Fixed 4 training,600,721158144,8,8,0.09375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-600.json
v2-fixed4-s20260913,Fixed 4 training,800,961880064,4,4,0.9765625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-800.json
v2-fixed4-s20260913,Fixed 4 training,800,961880064,4,6,0.3203125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-800.json
v2-fixed4-s20260913,Fixed 4 training,800,961880064,4,8,0.4140625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-800.json
v2-fixed4-s20260913,Fixed 4 training,800,961880064,6,4,0.8828125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-800.json
v2-fixed4-s20260913,Fixed 4 training,800,961880064,6,6,0.1015625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-800.json
v2-fixed4-s20260913,Fixed 4 training,800,961880064,6,8,0.4765625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-800.json
v2-fixed4-s20260913,Fixed 4 training,800,961880064,8,4,0.2109375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-800.json
v2-fixed4-s20260913,Fixed 4 training,800,961880064,8,6,0.6171875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-800.json
v2-fixed4-s20260913,Fixed 4 training,800,961880064,8,8,0.328125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-800.json
v2-fixed4-s20260913,Fixed 4 training,1000,1202601984,4,4,0.9921875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1000.json
v2-fixed4-s20260913,Fixed 4 training,1000,1202601984,4,6,0.1015625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1000.json
v2-fixed4-s20260913,Fixed 4 training,1000,1202601984,4,8,0.078125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1000.json
