kind,endpoint,arm,update,compute_units,group,loops,training_depth,difficulty,accuracy,correct,n,loss,source
training_loss,,control,113,144408576,,,4,2,,,,4.917381346558614e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,114,145686528,,,4,8,,,,0.34086979180574417,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,115,146964480,,,4,6,,,,0.03198129963129759,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,116,148242432,,,4,1,,,,4.32133575145599e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,117,149520384,,,4,4,,,,5.662421017404995e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,118,150798336,,,4,8,,,,0.017078290693461895,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,119,152076288,,,4,3,,,,1.4677629565085226e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,120,153354240,,,4,2,,,,5.215405280978302e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,121,154632192,,,4,2,,,,5.513428220638161e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,122,155910144,,,4,6,,,,0.018708316645643208,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,123,157188096,,,4,3,,,,1.892444743134547e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,124,158466048,,,4,4,,,,8.046568154895795e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,125,159744000,,,4,8,,,,0.21582488383864984,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,126,161021952,,,4,1,,,,4.246829945486752e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,127,162299904,,,4,6,,,,0.0017539666769152973,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,128,163577856,,,4,2,,,,4.619358833224396e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,129,164855808,,,4,8,,,,0.008329653181135654,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,130,166133760,,,4,1,,,,5.140898906574876e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,131,167411712,,,4,4,,,,6.467070761573268e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,132,168689664,,,4,3,,,,1.415608778643218e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,133,169967616,,,4,1,,,,4.3958415574252285e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,134,171245568,,,4,2,,,,4.6193589753329434e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,135,172523520,,,4,3,,,,1.13248734123772e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,136,173801472,,,4,6,,,,0.00805233528080862,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,137,175079424,,,4,4,,,,6.958800668144249e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,138,176357376,,,4,8,,,,0.08366675861179829,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,139,177635328,,,4,8,,,,0.7693203240633011,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,140,178913280,,,4,2,,,,4.544853027255158e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,141,180191232,,,4,6,,,,0.015380772776552476,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,142,181469184,,,4,3,,,,1.4901141298651055e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,143,182747136,,,4,4,,,,3.5986215607408667e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,144,184025088,,,4,1,,,,5.066393669039826e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,145,185303040,,,4,2,,,,4.619358833224396e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,146,186580992,,,4,3,,,,9.983772315536044e-07,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
training_loss,,control,147,187858944,,,4,4,,,,5.014212661080819e-06,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/extension-control-s20260916/metrics.jsonl
