step,objective,kl,weighted_aux,reader_lr,seconds
1,0.013126934209140018,0.011487944758320543,0.0016389889305040866,4.000000000000001e-06,43.87183339474723
2,0.012886335222901835,0.011208697677722698,0.0016776372324085486,8.000000000000001e-06,34.774517097044736
3,0.011822420707176207,0.010232319572213011,0.0015901015500793824,1.2e-05,39.089400907978415
4,0.011440216694609262,0.009782217633776019,0.0016579987223114508,1.6000000000000003e-05,35.510241479147226
5,0.01134081051350222,0.009762039906294257,0.001578770357836286,2e-05,39.62609404604882
6,0.011042675947464886,0.009336255028407257,0.0017064206554383773,2.4e-05,36.14916513580829
7,0.011656602316179487,0.009957093536167423,0.0016995082258349516,2.8000000000000003e-05,36.02187269181013
8,0.011411758231133717,0.009695251514553844,0.0017165066160658706,3.2000000000000005e-05,33.78792134672403
9,0.011189788921910804,0.009533496497951629,0.0016562921557686052,3.6e-05,36.1632317090407
10,0.011783140964325867,0.010062306122935447,0.0017208351998430343,4e-05,37.53547728713602
11,0.011389489751309156,0.009693990282440284,0.001695499235331958,4.4000000000000006e-05,36.416990886908025
12,0.011086999375038431,0.009360783378056826,0.0017262161262819942,4.8e-05,37.67371098930016
13,0.01169467144063674,0.010016502425665352,0.0016781686158428575,5.2000000000000004e-05,34.61519671510905
14,0.011194500479177805,0.009459830726652031,0.001734669350772331,5.6000000000000006e-05,34.62048067804426
15,0.011408872537685966,0.009708503804394237,0.0017003681474604946,6e-05,35.39724159613252
16,0.012184798224552651,0.01045327800342642,0.0017315203590677123,6.400000000000001e-05,36.09538402268663
17,0.011822441904541847,0.01004317448453885,0.0017792677492839478,6.800000000000001e-05,36.20722014410421
18,0.011553808534017662,0.009777624720968318,0.0017761841287779207,7.2e-05,37.370962446089834
19,0.01150300662175141,0.009764859532314644,0.0017381473320592145,7.6e-05,33.36892718402669
20,0.01159870372430305,0.009799727183186557,0.0017989763166206426,8e-05,36.23475363524631
21,0.011881510466537293,0.010086493445715179,0.0017950175041052824,8.4e-05,36.002921398729086
22,0.011718730272150424,0.009927097013901202,0.0017916327405113586,8.800000000000001e-05,34.03985258564353
23,0.012141294409957482,0.010296113085210081,0.0018451812225174099,9.200000000000001e-05,37.14335791300982
24,0.011407793070247862,0.009554847760652758,0.0018529451513676647,9.6e-05,35.9404061450623
25,0.011053026995796245,0.009287304295208751,0.0017657231285132871,0.0001,36.022989387158304
26,0.012220885471833753,0.010268054670860746,0.0019528303343834764,0.0001,35.891776939854026
27,0.011469643450254807,0.009660243348611442,0.0018094002130503966,9.999976640009794e-05,37.48490185523406
28,0.01176874578072784,0.009929659427707741,0.0018390868258401922,9.999906560281705e-05,34.858635324053466
29,0.011622374280136683,0.009758550366641645,0.0018638236327214038,9.999789761543314e-05,40.565803329925984
30,0.01206448135417304,0.010139922800869564,0.0019245581601138855,9.999626245007253e-05,35.41737210098654
31,0.012051033119860222,0.010169971071860878,0.001881062277504268,9.999416012371186e-05,36.09504301380366
32,0.012231822881403787,0.010330955640834206,0.0019008674091987535,9.999159065817795e-05,34.71860591927543
33,0.011643905247183284,0.009635765396398089,0.0020081402649568254,9.99885540801475e-05,36.06989808008075
34,0.012560851670059492,0.010574167951532019,0.001986684232694558,9.9985050421147e-05,37.7794451713562
35,0.012078104330612405,0.010098396004944204,0.0019797081029732082,9.998107971755216e-05,33.9673579740338
36,0.012206278248413582,0.010242134084281429,0.001964143802414729,9.997664201058768e-05,35.14196951687336
37,0.012066082874298445,0.010176242866350086,0.0018898396304614438,9.997173734632681e-05,34.869225446134806
38,0.012729329653666355,0.010778342503651733,0.0019509870290881908,9.996636577569086e-05,34.809651266783476
39,0.011790818542976922,0.00978074632750243,0.0020100717843715256,9.996052735444863e-05,36.209934105630964
40,0.01257526078961746,0.010586008647975003,0.0019892517914662866,9.995422214321588e-05,34.66707987384871
41,0.011986080060978566,0.0100704695722099,0.00191561010823887,9.99474502074547e-05,34.65777617925778
42,0.01232128113770159,0.010339017091901295,0.0019822645337488516,9.99402116174728e-05,33.685369150247425
43,0.011532747106684837,0.009568504724897212,0.001964242361176971,9.993250644842278e-05,36.07888836786151
44,0.012299464640818769,0.010321009996941825,0.0019784545841396326,9.992433478030138e-05,36.035295948851854
45,0.013183807175664697,0.011131474221215961,0.002052333236186306,9.991569669794869e-05,37.42678694380447
46,0.011645575302054567,0.009673282013486424,0.0019722931597084487,9.990659229104712e-05,33.41635567415506
47,0.01288756867097618,0.010890277488908364,0.0019972905933784302,9.98970216541206e-05,34.65033685974777
48,0.013623326042534245,0.011666422068590343,0.001956904277607266,9.988698488653359e-05,35.89174353983253
49,0.012082948778697755,0.010112700289282284,0.001970248285442871,9.987648209248997e-05,34.46380771929398
50,0.011756468321436842,0.00978580009256382,0.001970667879292461,9.986551338103208e-05,33.40522115165368
51,0.01245155863580294,0.01041250735791197,0.0020390510358085988,9.985407886603945e-05,34.536794214043766
52,0.011995255823421758,0.010056475394297458,0.001938780169661758,9.98421786662277e-05,34.22298406902701
53,0.011801365177234402,0.009786315845213483,0.0020150491058140542,9.98298129051473e-05,39.233951271977276
54,0.012119249868192128,0.010006972037561122,0.002112277967948542,9.981698171118227e-05,36.15839536488056
55,0.011636063367404859,0.009642216767891208,0.001993846686663333,9.980368521754887e-05,33.810954654589295
56,0.011810923444500077,0.009789553825047814,0.0020213697616638573,9.978992356229419e-05,37.285259909927845
57,0.012312517004829715,0.010394031759228827,0.0019184854646636434,9.977569688829475e-05,38.79887536494061
58,0.012462301771847706,0.010506008760107327,0.00195629282062971,9.976100534325493e-05,36.34328034380451
59,0.011801807419033139,0.009841966521332934,0.0019598408758120293,9.974584907970562e-05,34.85366333974525
60,0.01218417313430109,0.010131112796830046,0.002053059860692813,9.973022825500239e-05,37.749336949083954
61,0.012156315284300945,0.010186034880037302,0.0019702808171490464,9.971414303132409e-05,36.98280552495271
62,0.012665089940128382,0.010590127502126132,0.002074962252374318,9.969759357567099e-05,33.26204424491152
63,0.012939008127432317,0.010865899714333438,0.0020731087229954805,9.968058005986315e-05,34.76067384984344
64,0.012722134317300515,0.010605876587667618,0.0021162575304750123,9.966310266053861e-05,34.64474874502048
65,0.013884318295822595,0.011807050677016179,0.0020772675291355984,9.964516155915151e-05,36.23207483487204
66,0.01238472579620975,0.010283786913470698,0.0021009392772487617,9.96267569419703e-05,34.76865721214563
67,0.01218380659520335,0.009988656460866874,0.0021951499791337276,9.96078890000757e-05,36.30487800529227
68,0.012314173249251326,0.010349669629929904,0.0019645032823733914,9.958855792935884e-05,37.228306364733726
69,0.012073528436303604,0.010057508773731502,0.0020160197897500314,9.956876393051906e-05,35.37340327585116
70,0.013090925697269995,0.011043746150702957,0.002047179606420063,9.954850720906197e-05,36.048690078780055
71,0.012365229518763954,0.010339766138534393,0.00202546314553015,9.95277879752973e-05,34.551936933770776
72,0.01216373709189611,0.01026652742132193,0.0018972091367247634,9.950660644433664e-05,34.527491812128574
73,0.01323265961582365,0.011173172720885692,0.0020594872731059233,9.948496283609122e-05,37.14489170908928
74,0.012367594041734264,0.010338458286960351,0.0020291353029677924,9.946285737526974e-05,34.52329182205722
75,0.01248903951182001,0.010493374874323533,0.001995664674709138,9.944029029137591e-05,35.39464599918574
76,0.012721351957225124,0.010607451446065664,0.0021139009182092423,9.941726181870608e-05,37.557085012085736
77,0.012069418045939528,0.010001809042781834,0.0020676093674138825,9.939377219634689e-05,33.4282412501052
78,0.01159807781186828,0.009435482545315791,0.0021625955976922466,9.936982166817273e-05,34.02353395940736
79,0.013221283297752962,0.010933706416140703,0.002287576774323956,9.934541048284317e-05,36.125442292075604
80,0.012202878519929072,0.010023906418503026,0.0021789722985188394,9.932053889380048e-05,37.70693933824077
81,0.012690717913301341,0.010564194367046371,0.0021265231709128186,9.92952071592669e-05,34.633381286170334
82,0.012795728138371487,0.010583559281837232,0.0022121691240227777,9.926941554224203e-05,37.19875899888575
83,0.012377193229440309,0.010250434331769953,0.00212675868842427,9.924316431050005e-05,37.77831695601344
84,0.012876272940047784,0.010587968265251746,0.0022883045923961275,9.921645373658697e-05,34.69957600021735
85,0.012760570249156444,0.010579012323161262,0.0021815582799358606,9.91892840978178e-05,37.501906557008624
86,0.012185758993837226,0.010030389385727164,0.002155369586303279,9.916165567627362e-05,33.99585518473759
87,0.013992657206244985,0.011764162434075855,0.002228494618736809,9.913356875879873e-05,37.690211618784815
88,0.01292689070396591,0.010716701849084655,0.0022101889173602915,9.910502363699764e-05,38.873571335338056
89,0.012512102516211598,0.010314496065568921,0.0021976065843913382,9.907602060723202e-05,34.478112652897835
90,0.012975732794529904,0.010840796613291515,0.0021349362098993198,9.904655997061765e-05,37.57139670290053
91,0.01265762174352858,0.01048350407452721,0.0021741179262576176,9.901664203302126e-05,35.67287368513644
92,0.012254796649358468,0.01014484652189376,0.0021099503356190943,9.898626710505741e-05,36.08154877508059
93,0.013385985110289766,0.011103764462559706,0.00228222120842765,9.89554355020852e-05,32.49973921710625
94,0.012791086033757892,0.010594951909199835,0.002196134324197815,9.892414754420509e-05,39.30287956027314
95,0.01312895912451495,0.010982161410105192,0.002146797872403235,9.889240355625543e-05,37.89250811515376
96,0.01248216315616446,0.01031287456466202,0.0021692884521489807,9.886020386780927e-05,38.975582492072135
